Software,Test name,Test suits,runtime,br target trace time,overhead(%),syscall trace time,overhead(%)
Hbase,TestSplitLogManager,14,141.8,143.36,1.1,144.49,1.9
,TestAssignmentManager,13,277.7,279.37,0.6,286.59,3.2
,TestReplicationSyncUpToolBase,1,73.7,74.29,0.8,84.17,14.2
,TestNamespaceReplication,2,100.1,101.00,0.9,105.21,5.1
,TestThriftServer,5,76.4,77.39,1.3,82.82,8.4
HDFS,TestStandbyCheckpoints,11,159.2,160.95,1.1,163.66,2.8
,TestStandbyInProgressTail,10,30.2,30.41,0.7,32.22,6.7
,TestNestedSnapshots,5,40.7,41.19,1.2,45.50,11.8
,TestJournalNodeSync,11,112.3,113.31,0.9,116.90,4.1
,TestBalancerWithHANameNodes,3,72.2,72.71,0.7,74.08,2.6
Yarn,TestDelegationTokenRenewer,5,26.2,26.38,0.7,28.37,8.3
,TestMiniYarnClusterNodeUtilization,2,45.6,46.10,1.1,47.10,3.3
,TestNodeLabelContainerAllocation,23,291.2,295.57,1.5,301.39,3.5
,TestNodeManagerResync,6,34.3,34.61,0.9,36.67,6.9
,TestAMRMClientPlacementConstraints,3,28.9,29.10,0.7,29.91,3.5
ZooKeeper,LeaderElectionSupportTest,8,31.5,31.75,0.8,32.19,2.2
,ZooKeeperServerMainTest,15,37.1,37.51,1.1,38.92,4.9
,ZookeeperServerRestoreTest,2,29.5,29.68,0.6,31.09,5.4
,CnxManagerTest,10,87.7,88.84,1.3,95.07,8.4
,FuzzySnapshotRelatedTest,5,48.9,49.29,0.8,52.18,6.7
Hive,TestHS2HttpServerPam,4,26.8,26.91,0.4,27.20,1.5
,TestTxnCommands,35,330.2,334.16,1.2,343.41,4
,TestMsckCreatePartitionsInBatches,8,31.3,31.58,0.9,36.50,16.6
,TestWorkloadManager,19,36.6,36.89,0.8,38.98,6.5
,TestFirstInFirstOutComparator,5,50.3,50.60,0.6,53.22,5.8
Average,,9,88.816,89.62,0.908,94.08,5.932
